"","Country","Country Code","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016"
"67","El Salvador","SLV",71.6405797101449,78.1864904552129,86.6974063400576,130.60113960114,108.773178807947,152.609523809524,127.89897510981,117.321533923304,179.355126300149,186.784370477569,141.906521644645,141.270827073317,126.250163633127,140.870194714049,132.377977389332
"68","Equatorial Guinea","GNQ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"69","Eritrea","ERI",6.23665480427046,1.62814070351759,0.00501672240802676,2.31612903225806,0.0164179104477612,3.48955223880597,NA,2.78260869565217,0.417391304347826,0.821739130434783,0.983608673620916,1.18894202190897,1.325231845137,2.63859420997509,2.78602896427762
"70","Estonia","EST",44.0140173966117,71.6495412844037,84.3096495843838,60.9513361676831,75.6537325112054,75.8718520376607,100.362999707485,69.4131426984292,68.3891472868217,71.5180238044821,81.0701047542305,82.3557993730408,85.3409785932722,116.186666666667,112.681034482759
"71","Eswatini","SWZ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"72","Ethiopia","ETH",17.0124835075612,5.7023243045388,10.3092850210288,10.9025189113312,11.1310092564945,16.0398917224676,17.2002057915625,17.66231717809,21.847099210436,20.8190503602782,30.5863490895779,18.6842661136688,26.1596196864252,18.4669450726709,14.433712112343
"73","Euro area","EMU",197.05340712287,203.6949446743,196.467693046851,179.311894765698,174.562256403423,187.467281168332,142.867643831315,129.504811301735,156.83042429442,148.305017201546,155.770559457592,164.033511923971,168.916147334081,170.701020937152,166.647916312448
"74","Europe & Central Asia","ECS",70.9769014762891,73.4369884931443,72.1384142228245,70.024337636663,72.697307162127,77.6126360681266,67.3997763580393,65.9279683431452,73.1826529007152,72.7268866583758,74.7320628950478,77.4573864409189,76.9512362960356,77.9739109144118,80.6672862612469
"75","Europe & Central Asia (excluding high income)","ECA",23.9274840734833,24.192080481296,24.5864024014696,25.6611016948141,31.8109800503648,33.936076463385,33.7254759650704,37.9131362092654,37.8891998050209,40.068123425101,40.5008932636337,41.7774943563274,40.5006510177191,40.7655702432865,45.6295211185379
"76","Europe & Central Asia (IDA & IBRD countries)","TEC",29.5533293280364,30.4705073021445,30.9120789438686,33.3412237185286,39.2812857803677,42.1687927665292,41.2802701541621,43.6237797252556,45.0925281019763,46.8593309688864,47.1214969583838,48.1301128507006,46.3622303654726,47.0160145631931,51.3653161218176
"77","European Union","EUU",166.056150569802,174.341519896392,168.092086505927,160.134082470765,156.845272303301,169.245002835939,138.034000731919,125.073892564218,147.462568408743,142.652033823084,146.321584956411,154.705487912304,155.979670041784,160.272044251606,158.375331803929
"78","Faroe Islands","FRO",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"79","Fiji","FJI",71.4823529411765,19.2529411764706,45.2882352941176,39.1764705882353,25.1235294117647,23.9408284023669,41.1242603550296,21.8078751008072,16.3515151515152,35.4848484848485,28.928242446437,33.9295750473485,35.4083621863163,53.3416966293798,46.0331513375947
"80","Finland","FIN",136.142572538582,118.386030454165,132.745533607293,134.217303822938,134.495465604955,123.502905140433,130.580756605716,107.983879346123,124.079738310013,80.2319484558987,80.2818870481401,80.8560730650147,85.8844341968907,82.8765089208826,80.5097951914515
"81","Fragile and conflict affected situations","FCS",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"82","France","FRA",211.28378194486,223.363906198757,212.108013937282,192.462567211208,190.38257265936,209.338198397998,152.446540755437,120.563430187563,150.537963990874,141.299300923968,160.786312302155,169.417401812405,168.426729019734,170.400955322926,163.139086068431
"83","French Polynesia","PYF",333.666666666667,285,319,251.333333333333,262,279.666666666667,307.333333333333,272.4,326.4,305.2,241.73999633789,242.496002197266,210.967999267578,296.632000732422,252.032006835938
"84","Gabon","GAB",5.57846153846154,3.61230769230769,5.10769230769231,8.34461538461538,8.45846153846154,9.05846153846154,10.5169230769231,12.0215384615385,3.16,5.64923076923077,10.0881847205529,10.141230844351,11.4759692382813,24.5410456730769,26.7664002403846
"85","Gambia, The","GMB",NA,9.40333333333333,8.09032258064516,9.75692307692308,10.8259385665529,8.97689768976898,4.26075268817204,6.34345794392523,7.3,10.2755555555556,2.64100001942028,0.413136378201571,0.67624998959628,0.85,1.23534089868719
"86","Georgia","GEO",33.0413016270338,14.3690773067332,31.466814159292,53.2872340425532,47.5281385281385,41.3390928725702,37.5315904139434,44.9445727482679,35.3569620253165,122.042927251963,144.247243190456,174.453110186734,159.099133721757,152.958684495726,170.832122093023
"87","Germany","DEU",220.074039521669,219.698063752431,215.125819465456,208.757056451613,194.419012304062,221.871768965227,159.582718739524,181.414399330264,211.596825932804,191.486989473684,198.921581882711,203.47061300101,217.659000926628,202.222719216812,197.228258097424
"88","Ghana","GHA",3.74551542693136,6.8389486260454,13.2005,5.99875,20.0597619047619,17.76,14.5495555555556,18.9795652173913,18.7002164502165,13.2305084745763,34.7576595744681,25.2591489361702,15.7021276595745,23.505408494016,20.8765957446809
"89","Gibraltar","GIB",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"90","Greece","GRC",156.376886271623,162.090339233038,176.41764929631,143.040924592649,124.629256965944,96.9033891702376,119.047730829421,63.0961915979584,122.495909622127,159.707680250784,109.448818897638,117.232270916335,123.0625,118.272685398434,123.011214953271
"91","Greenland","GRL",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"92","Grenada","GRD",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"93","Guam","GUM",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"94","Guatemala","GTM",99.7901754385965,91.671826625387,124.94625,141.690714285714,136.043824701195,123.77347715736,92.0052830188679,127.068553981932,189.149562163263,223.169439467042,267.127694881422,284.691781838794,297.962462397984,342.077001160093,303.15318662993
"95","Guinea","GIN",1.00418410041841,0.793939393939394,1.03019607843137,0.919737322145202,0.883636363636364,1.21357142857143,1.29754385964912,0.634035087719298,0.932758620689655,3.58310344827586,2.93183325195313,2.86806774508569,1.09718706192509,2.699287109375,1.5685838859312
"96","Guinea-Bissau","GNB",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"97","Guyana","GUY",33.1111111111111,23.0555555555556,44.8333333333333,22.097619047619,32.5809523809524,32.6547619047619,56.7976190476191,20.2547619047619,39.3190476190476,27.8428571428571,43.5433326357887,61.5654296875,54.2215471540179,57.8163569859096,44.6040480840774
"98","Haiti","HTI",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"99","Heavily indebted poor countries (HIPC)","HPC",NA,6.99499427511615,10.9863364475114,9.05071172879163,10.155711125192,11.0408238546982,9.95715069146397,8.8050701616883,11.2428264416655,11.6734844059819,13.1933967259568,12.6784679540089,13.4151916254777,13.3672658262849,15.0819074005635
"100","High income","HIC",123.203863628246,129.70660395479,130.425453663898,127.913576981671,126.776495252351,133.402799803311,116.164249269752,106.947019646654,120.613035808592,127.6897762629,130.526983433021,134.135971065194,135.556144380627,137.576549508998,138.409711002905
"101","Honduras","HND",31.9569288389513,54.8970037453184,134.966666666667,160.851428571429,188.835238095238,177.995238095238,107.730844793713,62.3186274509804,64.7245098039216,104.070588235294,107.721558095895,176.387967218137,140.313997395833,141.839755667892,164.317604932598
"102","Hong Kong SAR, China","HKG",728.4,359.8,390.8,365.8,390,421,99,38,616.285714285714,790.571428571429,1307.31619642062,598.048389743941,1973.60974384461,2334.32262095552,2704.00336710612
"103","Hungary","HUN",94.8762483716891,95.4970633021536,98.5210961287516,85.1988698109107,99.1951272569067,110.409407665505,96.7007633587786,77.4822246455834,84.3342440801457,93.2882821387941,99.6154196042756,113.558619091752,112.708236927348,120.257863089732,128.252543940796
"104","IBRD only","IBD",120.687982291044,128.703559284578,134.928029701472,135.537295930565,141.999907421913,152.159580662576,152.986027126467,154.537474007028,165.462661608874,170.946553671717,172.135952069196,172.403055135503,174.499974056828,171.28849850545,174.567044505058
"105","Iceland","ISL",145.751937984496,122.883720930233,137.922480620155,133.558139534884,167.821705426357,194.168,199.88,123.846774193548,148.69918699187,159.165306757234,176.485152958663,168.803634613431,201.732678346859,147.752066115702,181.528925619835
"106","IDA & IBRD total","IBT",102.175244847381,107.355948380931,112.281943048405,112.841895388156,118.177205489986,125.346056931187,125.64345247095,127.571100699805,135.948179963774,139.800545760176,137.652553911609,138.76700740386,140.97098359864,139.00910946482,141.970450603721
"107","IDA blend","IDB",NA,NA,46.1214440053959,51.2573704709076,58.685908507152,53.8369203830127,54.3971343256724,66.6252925029853,66.2799384980955,62.2053484197851,57.7209400567993,66.3424148963238,67.5088317520316,66.8025494006238,69.4746480881083
"108","IDA only","IDX",NA,19.7334388193917,23.6427938552074,22.5874963350958,23.5745427353188,23.9637500183249,23.1481722101123,20.7733941545257,23.0271154685992,26.2935042820866,25.6194559688208,25.0316915080324,27.1048721114741,27.8348062418163,28.8693253151452
"109","IDA total","IDA",NA,30.0572561661577,32.220424771633,33.5134476237291,37.444988269147,35.6180604718188,35.048940075455,37.510908661605,38.822447664653,39.4128591578141,36.4228439494111,38.8187761797733,40.5952457438432,40.8335976449147,42.5722828385648
